iter	Passed	Remaining
0	140	139875
1	143	71394
2	144	47863
3	144	36060
4	145	28971
5	147	24363
6	147	20987
7	149	18477
8	149	16503
9	150	14943
10	151	13642
11	152	12567
12	153	11655
13	154	10867
14	155	10185
15	156	9599
16	157	9087
17	158	8623
18	159	8212
19	160	7848
20	161	7508
21	161	7199
22	162	6918
23	163	6664
24	164	6424
25	165	6202
26	166	5996
27	167	5802
28	168	5627
29	169	5466
30	169	5311
31	170	5170
32	172	5043
33	173	4916
34	174	4806
35	175	4689
36	176	4583
37	177	4481
38	177	4383
39	178	4289
40	179	4199
41	180	4114
42	181	4034
43	182	3957
44	183	3883
45	183	3812
46	184	3745
47	187	3709
48	188	3650
49	189	3591
50	189	3534
51	190	3478
52	191	3425
53	192	3374
54	193	3324
55	194	3278
56	195	3232
57	196	3187
58	197	3142
59	197	3100
60	198	3059
61	199	3019
62	200	2985
63	201	2953
64	202	2919
65	204	2900
66	206	2871
67	207	2841
68	208	2808
69	209	2779
70	210	2749
71	211	2720
72	212	2693
73	213	2665
74	213	2638
75	214	2610
76	217	2608
77	218	2583
78	219	2557
79	223	2566
80	224	2551
81	225	2527
82	226	2500
83	227	2477
84	228	2455
85	229	2433
86	229	2411
87	231	2401
88	232	2380
89	233	2362
90	234	2342
91	235	2323
92	236	2304
93	237	2286
94	238	2267
95	238	2250
96	239	2232
97	240	2214
98	241	2197
99	242	2185
100	244	2171
101	244	2156
102	245	2142
103	246	2127
104	247	2113
105	248	2098
106	249	2085
107	250	2071
108	251	2059
109	252	2046
110	253	2032
111	254	2020
112	255	2008
113	257	1997
114	259	1996
115	260	1984
116	260	1969
117	261	1956
118	262	1944
119	263	1933
120	264	1922
121	265	1909
122	266	1898
123	267	1886
124	267	1875
125	268	1864
126	269	1852
127	270	1842
128	271	1833
129	272	1823
130	274	1821
131	275	1813
132	276	1804
133	277	1794
134	278	1785
135	279	1775
136	280	1766
137	281	1757
138	282	1748
139	283	1740
140	284	1732
141	284	1721
142	285	1713
143	287	1706
144	288	1703
145	290	1701
146	292	1696
147	293	1688
148	294	1681
149	295	1673
150	296	1665
151	297	1657
152	298	1652
153	299	1645
154	300	1639
155	302	1634
156	303	1630
157	304	1625
158	305	1618
159	306	1611
160	307	1602
161	309	1599
162	310	1592
163	311	1585
164	312	1581
165	314	1578
166	315	1571
167	315	1564
168	316	1558
169	318	1555
170	319	1549
171	320	1543
172	321	1538
173	322	1532
174	323	1526
175	324	1520
176	326	1520
177	328	1515
178	329	1509
179	329	1503
180	330	1497
181	331	1491
182	333	1488
183	334	1483
184	335	1478
185	336	1473
186	337	1467
187	338	1461
188	339	1456
189	341	1454
190	342	1450
191	343	1444
192	344	1439
193	345	1434
194	346	1429
195	347	1426
196	348	1422
197	349	1417
198	351	1412
199	352	1408
200	353	1403
201	354	1401
202	355	1396
203	356	1391
204	357	1386
205	358	1381
206	359	1377
207	360	1372
208	361	1368
209	362	1364
210	363	1360
211	364	1355
212	365	1351
213	366	1346
214	367	1342
215	368	1339
216	369	1334
217	370	1330
218	371	1325
219	372	1321
220	373	1317
221	374	1312
222	375	1308
223	376	1304
224	377	1301
225	378	1297
226	379	1293
227	381	1290
228	382	1287
229	383	1284
230	385	1281
231	385	1277
232	386	1273
233	387	1269
234	388	1265
235	389	1261
236	390	1257
237	392	1255
238	393	1252
239	394	1248
240	397	1250
241	398	1247
242	399	1245
243	401	1244
244	402	1241
245	403	1237
246	404	1233
247	405	1229
248	406	1226
249	407	1223
250	408	1219
251	409	1216
252	410	1212
253	411	1210
254	412	1206
255	413	1202
256	414	1199
257	415	1195
258	416	1192
259	417	1189
260	418	1185
261	420	1183
262	421	1179
263	422	1177
264	423	1174
265	424	1172
266	425	1168
267	426	1165
268	427	1161
269	428	1158
270	429	1155
271	430	1151
272	431	1148
273	432	1145
274	433	1142
275	434	1138
276	435	1135
277	436	1133
278	438	1132
279	439	1129
280	440	1126
281	441	1123
282	442	1121
283	443	1118
284	444	1115
285	445	1111
286	446	1109
287	447	1106
288	448	1102
289	449	1099
290	449	1096
291	454	1101
292	455	1098
293	456	1095
294	456	1091
295	457	1088
296	458	1086
297	459	1083
298	461	1080
299	461	1077
300	463	1075
301	463	1072
302	464	1069
303	467	1071
304	468	1068
305	470	1066
306	471	1064
307	472	1061
308	473	1058
309	474	1055
310	475	1052
311	475	1049
312	476	1046
313	477	1043
314	478	1040
315	479	1037
316	480	1035
317	482	1034
318	483	1031
319	484	1028
320	485	1026
321	486	1023
322	487	1021
323	488	1019
324	489	1016
325	490	1014
326	492	1013
327	493	1010
328	494	1008
329	496	1008
330	498	1007
331	499	1004
332	500	1003
333	502	1001
334	504	1000
335	505	999
336	506	997
337	508	995
338	509	992
339	510	991
340	511	989
341	513	987
342	514	985
343	515	983
344	517	981
345	518	979
346	519	977
347	520	974
348	521	972
349	522	969
350	523	967
351	524	965
352	525	963
353	526	961
354	527	958
355	528	956
356	529	954
357	531	952
358	532	950
359	533	947
360	534	945
361	535	943
362	536	941
363	537	939
364	538	936
365	540	935
366	541	933
367	542	931
368	543	929
369	544	927
370	545	924
371	546	922
372	547	919
373	548	918
374	549	915
375	550	913
376	551	911
377	552	909
378	553	906
379	555	905
380	556	903
381	557	901
382	558	899
383	559	897
384	560	895
385	561	893
386	563	891
387	564	890
388	565	888
389	566	886
390	567	884
391	568	882
392	570	880
393	571	878
394	572	876
395	573	874
396	574	872
397	575	870
398	576	868
399	577	866
400	578	864
401	579	862
402	580	860
403	581	858
404	582	855
405	584	854
406	585	852
407	586	850
408	587	848
409	588	846
410	589	844
411	590	842
412	591	841
413	592	839
414	594	837
415	595	835
416	595	833
417	596	831
418	598	829
419	599	828
420	600	826
421	601	824
422	603	822
423	604	820
424	605	818
425	606	817
426	607	815
427	608	813
428	609	811
429	610	809
430	611	807
431	614	808
432	615	806
433	617	804
434	618	802
435	619	801
436	620	799
437	621	797
438	622	795
439	623	793
440	624	791
441	625	789
442	626	787
443	628	787
444	629	785
445	630	783
446	632	781
447	633	780
448	634	778
449	635	777
450	636	775
451	637	773
452	638	771
453	639	769
454	640	767
455	641	765
456	643	764
457	644	763
458	646	761
459	647	760
460	649	758
461	650	757
462	651	755
463	652	753
464	653	751
465	654	749
466	655	747
467	656	745
468	656	743
469	658	742
470	659	740
471	660	738
472	661	736
473	661	734
474	662	732
475	663	730
476	664	728
477	665	727
478	666	725
479	667	723
480	668	721
481	669	719
482	670	717
483	671	716
484	672	714
485	673	712
486	675	711
487	677	710
488	678	709
489	679	707
490	682	707
491	684	706
492	686	706
493	689	705
494	690	704
495	691	702
496	692	701
497	693	699
498	694	697
499	695	695
500	696	693
501	697	692
502	699	690
503	700	688
504	701	687
505	702	685
506	703	683
507	704	682
508	705	680
509	706	678
510	707	677
511	708	675
512	709	673
513	711	672
514	712	670
515	715	671
516	716	669
517	717	667
518	718	665
519	719	664
520	720	662
521	723	662
522	724	660
523	725	659
524	726	657
525	728	656
526	729	654
527	730	653
528	731	651
529	732	649
530	734	648
531	735	646
532	735	644
533	736	642
534	737	641
535	738	639
536	739	637
537	740	636
538	741	634
539	743	633
540	745	632
541	746	630
542	747	629
543	748	627
544	749	625
545	750	624
546	751	622
547	752	620
548	753	619
549	754	617
550	755	615
551	756	614
552	758	612
553	759	611
554	760	609
555	761	608
556	762	606
557	763	605
558	764	603
559	765	601
560	766	600
561	768	598
562	769	596
563	770	595
564	770	593
565	771	591
566	773	590
567	774	589
568	775	587
569	776	585
570	777	583
571	778	582
572	779	580
573	780	579
574	781	577
575	782	575
576	783	574
577	784	572
578	785	570
579	786	569
580	786	567
581	788	566
582	789	564
583	790	562
584	791	561
585	792	560
586	793	558
587	794	556
588	795	555
589	796	553
590	797	552
591	798	550
592	799	548
593	800	547
594	801	545
595	802	544
596	804	542
597	804	541
598	805	539
599	806	537
600	807	536
601	808	534
602	809	533
603	810	531
604	811	529
605	812	528
606	813	526
607	814	525
608	815	523
609	816	521
610	817	520
611	818	519
612	819	517
613	821	516
614	822	514
615	822	513
616	824	511
617	825	510
618	826	508
619	827	506
620	828	505
621	829	503
622	829	502
623	830	500
624	832	499
625	832	497
626	833	496
627	834	494
628	835	492
629	836	491
630	838	490
631	839	488
632	840	487
633	840	485
634	841	483
635	842	482
636	843	480
637	844	479
638	846	478
639	847	476
640	848	475
641	849	473
642	850	472
643	851	470
644	852	469
645	853	467
646	854	466
647	855	464
648	856	463
649	857	461
650	858	460
651	859	458
652	861	457
653	862	456
654	863	454
655	865	453
656	866	452
657	867	450
658	868	449
659	869	447
660	870	446
661	871	444
662	872	443
663	873	441
664	874	440
665	878	440
666	879	438
667	880	437
668	881	435
669	882	434
670	883	433
671	884	431
672	885	430
673	886	428
674	887	427
675	888	425
676	889	424
677	890	422
678	891	421
679	892	420
680	893	418
681	894	417
682	895	415
683	896	414
684	897	412
685	899	411
686	900	410
687	901	408
688	902	407
689	903	405
690	904	404
691	906	403
692	907	402
693	908	400
694	909	399
695	910	397
696	911	396
